1,0,1p Loss,1q Gain,1q Loss,3p Loss,3q Loss,5p Loss,5q Loss,6p Loss,6q Loss,8p Gain,8q Gain,11p Gain,11q Gain,11q Loss,12q Gain,12q Loss,16p Loss,16q Loss,17p Gain
1.1,0,8p Loss,9p Loss,9q Loss,19p Gain,19q Gain,20p Gain,,,,,,,,,,,,,
1.1.1,0,1p Gain,13q Loss,16p Gain,,,,,,,,,,,,,,,,
1.1.1.1,3.479576399,5q Gain,17q Loss,,,,,,,,,,,,,,,,,
1.1.1.2,0.201714574,2p Loss,2q Loss,2q Gain,7q Gain,17q Gain,20q Gain,21q Gain,22q Gain,,,,,,,,,,,
1.1.2,0.706001009,2p Loss,2q Loss,2q Gain,5q Gain,7p Gain,20q Gain,21q Gain,,,,,,,,,,,,
1.1.2.1,0.100857287,4p Gain,4q Loss,7q Loss,10p Gain,10q Gain,12p Loss,13q Loss,13q Gain,17q Loss,18p Gain,18q Gain,19q Loss,22q Gain,,,,,,
1.2,0,2p Loss,2q Loss,2q Gain,5q Gain,7p Gain,7q Loss,9p Gain,21q Gain,,,,,,,,,,,
1.2.1,54.4125063,8p Loss,,,,,,,,,,,,,,,,,,
1.2.1.1,19.41502774,9q Gain,12p Loss,13q Gain,17q Loss,19q Loss,,,,,,,,,,,,,,
1.2.2,0,12p Loss,13q Gain,,,,,,,,,,,,,,,,,
1.2.2.1,9.73272819,4q Gain,,,,,,,,,,,,,,,,,,
1.2.2.2,11.9515885,19q Loss,22q Gain,,,,,,,,,,,,,,,,,